Bioinformatics: The Machine Learning Approach,Engineering,BioTechnology
Fundamentals of Inorganic Chemistry: An Introductory Text for Degree course Studies,Mathematics & Sciences,Chemistry
"The Construction of Buildings, Volume 1",Engineering,Civil Engineering
Combinatorics: Theory and Applications,Mathematics & Sciences,Mathematics & Statistics
Basic Principle Measurements & Control System,Engineering,Mechanical Engineering
Software Testing,Engineering,Computer Science Engineering
"Distributed Computing:  Principles, Algorithms, and Systems",Engineering,Computer Science Engineering
Quantum Mechanics for Scientists and Engineers,Mathematics & Sciences,Physics
Introduction to Information Retrieval,Engineering,Computer Science Engineering
KEY TO MECHANICS OF STRUCTURES VOL. I,Engineering,Civil Engineering
UNDERSTANDING CONCEPT OF STRUCTURAL ANALYSIS AND DESIGN,Engineering,Civil Engineering
LOGARITHMS AND OTHER TABLES,Mathematics & Sciences,Mathematics & Statistics
STEAM TABLES,Mathematics & Sciences,Mathematics & Statistics
Moving to the Cloud,Engineering,Computer Science Engineering
Business Organisation and Management (With Lab Work),Business & Management,Management
MACHINE LEARNING,Engineering,Computer Science Engineering
A Laboratory Course in Microwave,Engineering,Electronics and Communication Engineering
Industrial Automation and Robotics,Engineering,Electrical Engineering
English Grammar Without Tears,Arts & Humanities,English
Mechanical Vibrations,Engineering,Mechanical Engineering
Polymer Science,Engineering,Metallurgical Engineering & Material Sciences
A Guide to Corporate Governance,Business & Management,Management
Management Accounting,Business & Management,Accounting
Fuild Mechanics and Its Applications,Engineering,Mechanical Engineering
Computational Methods for Partial Differential Equations,Mathematics & Sciences,Mathematics & Statistics
Mechanics of Materials,Engineering,Metallurgical Engineering & Material Sciences
A Textbook of Agricultural Statistics,Mathematics & Sciences,Mathematics & Statistics
Basic Mechanics,Engineering,Mechanical Engineering
"Computer Graphics, C Version,  2/e",Engineering,Computer Science Engineering
Design Patterns:  Elements of Reusable Object-Oriented Software (For JNTU),Engineering,Computer Science Engineering
"Computer Graphics:  Principles & Practice in C,  2/e",Engineering,Computer Science Engineering
"Computer Networking:  A Top-Down Approach,  5/e",Engineering,Computer Science Engineering
"Software Architecture in Practice,  2/e",Engineering,Computer Science Engineering
Principles of Distributed Database Systems,Engineering,Computer Science Engineering
"Network Management:  Principles and Practice,  2/e",Engineering,Computer Science Engineering
Introduction to Data Mining:  PNIE,Engineering,Computer Science Engineering
Fundamentals of Database Systems:  For VTU,Engineering,Computer Science Engineering
Modern Information Retrieval,Engineering,Computer Science Engineering
"Programming the World Wide Web:  For VTU,  4/e",Engineering,Computer Science Engineering
"Cryptography and Network Security:  Principles and Practice,  6/e",Engineering,Computer Science Engineering
FUNDAMENTALS OF MULTIMEDIA,Engineering,Computer Science Engineering
ENGINEERING PHYSICS,Mathematics & Sciences,Physics
UNIX NETWORK PROGRAMMING : INTERPROCESS COMMUNICATIONS - VOLUME 2,Engineering,Computer Science Engineering
Concrete Testing Laboratory,Engineering,Civil Engineering
Science and Life,Mathematics & Sciences,Physics
"Ubiquitous Computing: Smart Devices, Environments And Interactions",Engineering,Computer Science Engineering
Professional Android 4 Application Development,Engineering,Computer Science Engineering
"Data Warehousing Fundamentals for IT Professionals, 2ed",Engineering,Computer Science Engineering
"ALGORITHM DESIGN: FOUNDATION, ANALYSIS AND INTERNET EXAMPLES",Engineering,Computer Science Engineering
SOFTWARE PROJECT MANAGEMENT,Engineering,Computer Science Engineering
Cloud Computing: Principles and Paradigms,Engineering,Computer Science Engineering
Cryptography and Network Security : Principles and Practice,Engineering,Computer Science Engineering
Software Quality Engineering,Engineering,Computer Science Engineering
The Data Warehouse Toolkit : The Definitive Guide to Dimensional Modeling,Engineering,Computer Science Engineering
Applying UML and Patterns : An Introduction to Object-Oriented Analysis and Design and Iterative Development,Engineering,Computer Science Engineering
Unix Network ProgrammingThe Sockets And Networking API (volume - 1),Engineering,Computer Science Engineering
Software Engineering,Engineering,Computer Science Engineering
STORAGE NETWORKS: THE COMPLETE REFERENCE,Engineering,Computer Science Engineering
Machine Learning,Engineering,Computer Science Engineering
Pattern Recognition Machine Learning,Engineering,Computer Science Engineering
Principles Of Distributed Database Systems,Engineering,Computer Science Engineering
Software Engineering 7th Edition,Engineering,Computer Science Engineering
"Multimedia Communication Systems Techniques, Standards & Networks",Engineering,Computer Science Engineering
Comprehensive Stress Management (English) 10th  Edition,Self Help,Self Help
Donald School Journal Of Ultr.In Obs & Gyne (Jan -March 2008)(Vol 2 No.1),Medical,Gynaecology & Obstetrics
Donald School Journal Of Ultrasound In Obs & Gyne (July-Sep 2010)(Vol.4 No.3),Medical,Radiology
"International Journal Of Clinical Pediatric Dentistry (Sep-Dec 2010) (Vol.3,No.3)",Medical,Dentistry
Journal Of Safog ( Jan -Dec 2009) 3 Issues,Medical,Medicine
Journal Of Safog(Sep-Dec 2009)(Vol.1 No.3) With Dvd-Rom,Medical,Medicine
International Journal Of Head & Neck Surgery (Jan-April 2010)(Vol.1 No.1),Medical,Surgery
International Journal Of Head & Neck Surgery (May-Aug 2010)(Vol.1 No.2),Medical,Surgery
Soft Skills and Personality Development Bca Vsem,Arts & Humanities,English
"Longwall Mining, 2/Ed, Hb",Engineering,Industrial / Production Engineering
"Engineering Chemistry, 15th Ed",Engineering,Chemical Engineering
A Course In Workshop Technology Vol Ii,Engineering,Other Engineering
Electronics and Microprocessors,Engineering,Electronics and Communication Engineering
Engineering Chemistry Vol I,Engineering,Chemical Engineering
Composites Manufacturing Materials Product and Process Engg,Engineering,Industrial / Production Engineering
Text Book of Engineering Chemistry,Engineering,Chemical Engineering
Automobile Engineering,Engineering,Automobile Engineering
"Signals and Systems, 4th Ed",Engineering,Electrical Engineering
A Text Book of Material Science and Metallurgy,Engineering,Automobile Engineering
"Electrical Engineering, 3rd Ed",Engineering,Electrical Engineering
Mechanical Vibration,Engineering,Mechanical Engineering
"Digital Signal Processing, 4th Ed",Engineering,Electronics and Communication Engineering
Probability & Queueing Theory Iv Cse,Mathematics & Sciences,Other Mathematics & Sciences
Company Law,Law,Other Law
Flight Performance of Fixed and Rorary Wing Aircraft,Engineering,Aeronautical / Aerospace Engineering
"Linear Integrated Circuits, 4th Ed",Engineering,Electrical Engineering
Electric Circuit Theory,Engineering,Electrical Engineering
Applied Engineering Mechanics,Engineering,Industrial / Production Engineering
Computer Integrated Manufacturing,Engineering,Industrial / Production Engineering
Total Quality Managemnet,Business & Management,Management
"Two Wheelers Theory, Operation & Maintenance",Engineering,Automobile Engineering
Fundamentals of Wireless Communication,Engineering,Electronics and Communication Engineering
Dr. B.R. Ambedkar Socio-Economic and Political Ideology,Arts & Humanities,Political Science
Spoken English: Vol - 1 (Bharatidasan University Edn.),Arts & Humanities,Language and Literature
Alternaria : An Identification Manual,Arts & Humanities,Language and Literature
Vogel's Qualitative Inorganic Analysis,Engineering,Automobile Engineering
"Political Economy of Underdevelopment, The",Arts & Humanities,Political Science
Engineering Drawing Set of 2 Volumes,Engineering,Aeronautical / Aerospace Engineering
Physics,Mathematics & Sciences,Physics
"Viva Collins Easy Learning English Dictionary, 1st Ed",Arts & Humanities,Language and Literature
Foundation,Arts & Humanities,Language and Literature
"I, Robot",Arts & Humanities,Language and Literature
Number Mysteries,Mathematics & Sciences,Mathematics & Statistics
Turning Point,Arts & Humanities,Philosophy
"Soccernomics: Why England Loses, Why Germany and Brazil Win, and Why the Us, Japan, Australia, Turkey - and Even Iraq - Are Destined",Business & Management,Business
Collins Cobuild English Grammar,Arts & Humanities,English
Strategist,Business & Management,Business
Collins Essential English World Bank,Arts & Humanities,Language and Literature
The World's Heritage - Media Mart,Arts & Humanities,Media & Journalism
Paradise Lost & Paradise Regained: Collins Classics,Arts & Humanities,Language and Literature
Mayor of Casterbridge: Collins Classics,Arts & Humanities,Language and Literature
Electrical Engineering : Principles & Applications,Engineering,Electrical Engineering
Selected Poems of Walt Whitman to Anthology of American Literature,Arts & Humanities,Language and Literature
A Short Course In Differential Equations,Mathematics & Sciences,Mathematics & Statistics
Aircraft Maintenance and Repair,Engineering,Aeronautical / Aerospace Engineering
The Gregg Reference Manual,Business & Management,Management
Encyclopedia Of The Life Course And Human Devol Elopment 3 Vols,Arts & Humanities,Sociology
A Critical History of Western Philosophy,Arts & Humanities,Philosophy
Structure and Function In Primitive Society: Essays and Addresses,Arts & Humanities,Sociology
Science and Human Behavior,Arts & Humanities,Psychology
"Principles Of Modern Chemistry, 3/E",Mathematics & Sciences,Chemistry
Principles of Physics,Mathematics & Sciences,Physics
Structural Dynamics,Engineering,Civil Engineering
Free - Surface Hydraulics,Engineering,Civil Engineering
Psychiatric Nursing,Medical,Nursing
"Macroeconomic Theory and Policy, 3rd Ed",Business & Management,Economics
Elastic Analysis of Structures: Classical and Matrix Methods,Engineering,Civil Engineering
Big Designs for Small Kitchens,Engineering,Architecture
25 Hourses Under 1500 Square Feet,Engineering,Architecture
Minimalist Interiors,Engineering,Architecture
Light Your Home: A Comprehensive Guide to Practical and Decorative Lighting,Engineering,Architecture
Farm Houses: the New Style,Engineering,Architecture
Innovation and Entrepreneurship,Business & Management,Business
Glass House,Engineering,Architecture
Restaurants By Design,Engineering,Architecture
"Interior Design Details: 1, 000 New Ideas for the Home",Engineering,Architecture
Big Book of Interiors - Design Ideas for Every Room,Engineering,Architecture
The Ecology of Commerce: A Declaration of Sustainability,Engineering,Chemical Engineering
Good Office Green Design on the Cutting Edge,Engineering,Architecture
150 Best New House Ideas,Engineering,Architecture
The Golden Notebook,Arts & Humanities,Language and Literature
Guide to the End of Wall Street As We Know It - Wall Street Journal,Business & Management,Investment
Small Is Beautiful: Economics As If People Mattered,Business & Management,Economics
Einstein the Life & Times,Mathematics & Sciences,Physics
Fuel Systems & Emission Controls,Engineering,Mechanical Engineering
"Schaum's Outline of Thermodynamics with Chemical Applications 2 Sub, 2nd Ed",Mathematics & Sciences,Physics
"Trigonometry, 2nd Ed",Mathematics & Sciences,Mathematics & Statistics
Schaum's Outline of Theory and Problems of Combinatorics,Mathematics & Sciences,Mathematics & Statistics
Construction Project Management (Mcgraw - Hill Series In Construction Engineering & Project Management),Engineering,Civil Engineering
Basic Mathematics for Electricity and Electronics,Mathematics & Sciences,Mathematics & Statistics
